Created on,author,is_retweet,is_reply,tweet_id,tweet_body,language,likes,retweet_count,source,medias,user_mentioned,urls,hashtags,symbols
Wed Sep 14 14:16:44 +0000 2022,Progressive Tech ,False,True,1570053942033227777,"@laurenboebert Finally, Ill assume youre talking about the DJIA box. 

Two things:
1. The President has little to do with the markets. His influence is indirect, at best.
2. The markets are SO far removed from the average citizen's economic health that they're useless as indicators.",en,1,,Twitter for iPad,, laurenboebert;,,,
Wed Sep 14 19:28:27 +0000 2022,Jill Page,False,False,1570132388080156672,$DJIA Everyone is Buying the Dip Right Now.Hoarding Shares:-. https://t.co/hyW3dlpLls,en,,,Twitter Web App,,, http://team.livewinningalerts.net;,,"[{'text': 'DJIA', 'indices': [0, 5]}]"
Tue Sep 13 20:05:34 +0000 2022,Reinier Martnez,False,False,1569779340757303296,"Brandon celebrating record-high inflation as a ""great day"" as he fumbles through an embarrassing speech while the Dow TANKS live on-screen is the defining image of the @JoeBiden Administration.

UNREAL.

$SPX $DJIA $QQQ
#Bidenflation #BidenDestroysAmerica https://t.co/P7wPcNeY79",en,253,136,Twitter for iPhone, https://twitter.com/reiniermf/status/1569779340757303296/video/1;, JoeBiden;,, Bidenflation; BidenDestroysAmerica;,"[{'text': 'SPX', 'indices': [204, 208]}, {'text': 'DJIA', 'indices': [209, 214]}, {'text': 'QQQ', 'indices': [215, 219]}]"
Thu Sep 15 03:37:03 +0000 2022, Pawan Maheshwari,False,False,1570255346584932354,#dowjones is showing positive divergence on chart. Dip towards 30600 is possible.  #DJIA should bounce from here or 30600 and move towards 38000+ in coming months. View will be negated if $djia closes below 30340 on DCB. https://t.co/kpupyHIMpa,en,,,Twitter Web App, https://twitter.com/TukkaNomist/status/1570255346584932354/photo/1; https://twitter.com/TukkaNomist/status/1570255346584932354/photo/1;,,, dowjones; DJIA;,"[{'text': 'djia', 'indices': [188, 193]}]"
Wed Sep 14 22:51:15 +0000 2022,Toptrdr (respect the power of the market ),False,False,1570183424903892992,when 18300 hits in nikkie ...what can we expect in DJIA https://t.co/fd9vuWxX4w,en,1,,Twitter Web App, https://twitter.com/ronit9q/status/1570183424903892992/photo/1;,,,,
Tue Sep 13 19:17:58 +0000 2022,Brian Chappatta,False,False,1569767363209207808,"Jeez.

S&amp;P 500: -3.87%
DJIA: -3.51%
NASDAQ: -4.66%

Those who thought they had US CPI pegged have to be humbled right now.",en,35,6,Twitter Web App,,,,,
Wed Sep 14 18:51:38 +0000 2022,Vik Soien,False,False,1570123122740707329,Target around $27k $DJIA https://t.co/Hglb3ZoWVW,en,5,,Twitter Web App, https://twitter.com/VSoien/status/1570123122740707329/photo/1;,,,,"[{'text': 'DJIA', 'indices': [19, 24]}]"
Wed Sep 14 14:09:12 +0000 2022,MajesticTrader ,False,False,1570052044358295552,Still sat on that old gap support line. It loves it  #DowJones $DJIA https://t.co/7GTTIQgtQw,en,2,,Twitter for Android, https://twitter.com/MajestictraderA/status/1570052044358295552/photo/1;,,, DowJones;,"[{'text': 'DJIA', 'indices': [64, 69]}]"
Wed Sep 14 16:31:52 +0000 2022,"Dan Stringer, SEC Pimp",False,False,1570087950867927041,Worst.  Deadcat.  Bounce.  Ever.  $SPX $DJIA,en,24,1,Twitter for iPhone,,,,,"[{'text': 'SPX', 'indices': [34, 38]}, {'text': 'DJIA', 'indices': [39, 44]}]"
Wed Sep 14 16:23:47 +0000 2022, Gary Willoughby  Oblate spheroid inhabitant,False,False,1570085915405742080,"Whew, the DJIA has bounced back, so far, to recover a whopping 5% of yesterday's losses.  They want you to panic and sell so that they can buy low and profit off of you immediately. They want you to lose confidence in the economy and vote foolishly. Don't be a sucker.",en,2,,Twitter Web App,,,,,
Wed Sep 14 15:00:02 +0000 2022,van ilango (JustNifty),False,False,1570064839355277313,"1st step: Stop looking @ #SGXNIFTY &amp; #DJIA 
2nd Step: Start looking @ #priceaction &amp; #trend following &amp; #retracement strategy
Your success rate goes up significantly.

I don't look at these, I'm peaceful, objective and getting rich slowly &amp; quietly. https://t.co/bNIua7oKQ3 https://t.co/5Btak4udbQ",en,58,8,Twitter Web App, https://twitter.com/JustNifty/status/1570064839355277313/photo/1;,, https://twitter.com/JustNifty/status/1556156796532031488;, SGXNIFTY; DJIA; priceaction; trend; retracement;,
Thu Sep 15 02:57:28 +0000 2022,Steven,False,False,1570245385893085186,$DJIA Top analyst price target for this week. https://t.co/6IuSRkFK6y,en,,,Twitter Web App,,, http://discord.gg/JHue5nbj;,,"[{'text': 'DJIA', 'indices': [0, 5]}]"
Wed Sep 14 12:37:41 +0000 2022,Chris Perruna,False,False,1570029013275377668,"Market Bottoms, following major drops often happen during a period of heavy volatility.

For example: 
- Oct 2008
- Nov 2008
- Mar 2020

Notice the large up &amp; down days on the $DJIA, a 3%+ swing in each direction, many times over a several week period.

Will we get this in 2022? https://t.co/KKKb4VYvL1",en,121,20,Twitter Web App, https://twitter.com/cperruna/status/1570029013275377668/photo/1; https://twitter.com/cperruna/status/1570029013275377668/photo/1; https://twitter.com/cperruna/status/1570029013275377668/photo/1;,,,,"[{'text': 'DJIA', 'indices': [180, 185]}]"
Tue Sep 13 15:41:43 +0000 2022,$,False,False,1569712938491035649,"$DJIA M15 $YM_F
First targets hit  https://t.co/ghGynx7UGu",en,10,,Twitter Web App, https://twitter.com/JoeChartingStar/status/1569712938491035649/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'YM_F', 'indices': [10, 15]}]"
Tue Sep 13 18:14:38 +0000 2022,Nostradamus,False,False,1569751422098612224," When you have done your technical research and know the resistance and support, -1000 point $DJIA drops don't have you under their control, praying for a broker to come on TV and give you hope. 

Please stay ahead of wall street. https://t.co/XFF1is9PHl",en,2,,Twitter for iPhone, https://twitter.com/RareSterling/status/1569751422098612224/photo/1;,,,,"[{'text': 'DJIA', 'indices': [94, 99]}]"
Wed Sep 14 05:20:58 +0000 2022,Ankit Chaudhary,False,False,1569919111173652481,"Banknifty almost in 

This is DE-COUPLING to another level

When was the last time DJIA was down 4% overnight and Indian markets traded in Green, do you remember ??",en,66,2,Twitter Web App,,,,,
Tue Sep 13 19:45:27 +0000 2022,"Favilo, CFA | Journey to Wealth",False,False,1569774279318982656,"#DowJones #HeadandShoulders 
#Bearish $DJIA #DJIA 
CMP 31050
Target comes to 27000, earlier low 29650 https://t.co/FAYdFbnA7h",en,10,1,Twitter for iPhone, https://twitter.com/FaviloF/status/1569774279318982656/photo/1;,,, DowJones; HeadandShoulders; Bearish; DJIA;,"[{'text': 'DJIA', 'indices': [38, 43]}]"
Thu Sep 15 02:42:26 +0000 2022,Mori,False,True,1570241604228612096,@Killadrix You understand my rooting for DJIA 8000. https://t.co/VieiG8ndny,en,1,,Twitter Web App, https://twitter.com/moritheil/status/1570241604228612096/photo/1;, Killadrix;,,,
Tue Sep 13 22:06:51 +0000 2022,Jurasskick,False,False,1569809863391473664,"During the Trump admin, the DJIA went up about 10k.
So far, almost 20 months into the Biden admin, the DJIA is almost back to where Biden inherited it. https://t.co/9iKDmLdBcb",en,,,Twitter Web App, https://twitter.com/jurasskick/status/1569809863391473664/photo/1;,,,,
Mon Sep 12 15:51:49 +0000 2022,$,False,False,1569353093925720065,"$DJIA M15 $CASH
Hope for the bears https://t.co/fRPwZydCnu",en,24,,Twitter Web App, https://twitter.com/JoeChartingStar/status/1569353093925720065/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'CASH', 'indices': [10, 15]}]"
Tue Sep 13 13:08:17 +0000 2022,grimacemcdonald,False,False,1569674326663917570,"Inflation is still a nothing burger until DJIA drops below 29,000.

Whatever JPOW is doing besides not reducing the balance sheet seems to be keeping the Ponzi afloat.

No pipe has burst that JPOW hasnt been able to fix thus far.",en,2,,Twitter for iPad,,,,,
Wed Sep 14 09:34:08 +0000 2022,Ninaad Deshmukh,False,False,1569982822634356736,"Today phir se #Nifty &amp; #Banknifty to ""Global Markets""

#DowJones #DJIA #SPX500 #SPX #NASDAQ100",en,5,2,Twitter Web App,,,, Nifty; Banknifty; DowJones; DJIA; SPX500; SPX; NASDAQ100;,
Tue Sep 13 18:42:35 +0000 2022,I Wollof - The Truth Be Known,False,False,1569758455262576641,DJIA currently down just over 1000 pts on the day,en,1,3,TweetDeck,,,,,
Wed Sep 14 14:33:06 +0000 2022,Bitcoin-Or-Bust,False,False,1570058061569572864,#DJIA just broke its 6 Sept low - looks likely wave 3 of iii is underway https://t.co/2rvMkeC9gK,en,2,,Twitter Web App, https://twitter.com/FerreMarett/status/1570058061569572864/photo/1;,,, DJIA;,
Wed Sep 14 00:56:34 +0000 2022,Don Carlo,False,False,1569852572277555200,$DJIA couldnt agree more lmaooooooo,en,2,,Twitter for iPhone,,,,,"[{'text': 'DJIA', 'indices': [0, 5]}]"
Tue Sep 13 20:01:52 +0000 2022,David Buik,False,False,1569778408426463233,"US investors did not like that inflation number of 8.3% - DJIA - 31,105.03 1,276.31 (-3.94%) with 30 minutes to go! 9.01pm",en,10,1,Twitter Web App,,,,,
Wed Aug 31 15:27:42 +0000 2022,Ninaad Deshmukh,False,False,1564998369042464769,"Yesterday #Nifty &amp; #Banknifty to ""Global Markets""

#DowJones #DJIA #SPX500 #SPX #NASDAQ100 https://t.co/02MNlxUP94",en,4,1,Twitter Web App, https://twitter.com/Ninad_Indicator/status/1564998369042464769/photo/1;,,, Nifty; Banknifty; DowJones; DJIA; SPX500; SPX; NASDAQ100;,
Tue Sep 13 20:00:02 +0000 2022,Planet Ponzi,False,False,1569777948281929733,"It Begins. 

Joe Biden's #Inflation And Economic Policies See U.S. Recession Deepening.

What It Looks Like When Impotent Central Banks Lose Control.

U.S. #Stocks See Worst Day in 2022
S%P 500 Dives  180 Points 4.4%
#Nasdaq Craters 650 Points 5.2%
#DJIA Plummets 1,300 Points https://t.co/tg6If8g9VK",en,21,15,Twitter Web App, https://twitter.com/PlanetPonzi/status/1569777948281929733/photo/1;,,, Inflation; Stocks; Nasdaq; DJIA;,
Fri Sep 09 09:11:52 +0000 2022,$,False,False,1568165280794267649,"$DJIA M5 $YM_F
The 100% target of W-C got hit which matched the green targetline very nicely. The red WW wedge looks kind of funny but it fits my cycle. If that thing fires, I'll be silent for a while... https://t.co/sB74uy9PPi",en,22,1,Twitter Web App, https://twitter.com/JoeChartingStar/status/1568165280794267649/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'YM_F', 'indices': [9, 14]}]"
Wed Sep 14 13:14:54 +0000 2022,B2Investor,False,False,1570038381924569089,it looks precarious #DJIA https://t.co/8bo7HJQ2jK,en,,,Twitter Web App, https://twitter.com/B2Investor/status/1570038381924569089/photo/1;,,, DJIA;,
Tue Sep 13 13:44:07 +0000 2022,Naresh Nambisan/ ,False,False,1569683344648208385,"#DowJones  at 3.30 pm +200
#DowJones  at 7pm - 600
#DJIA #NASDAQ $INDU #Investing #Stockmarket 

Traders reaction seeing the above https://t.co/tTVP2wzwIC",en,39,3,Twitter Web App, https://twitter.com/nareshbahrain/status/1569683344648208385/photo/1;,,, DowJones; DowJones; DJIA; NASDAQ; Investing; Stockmarket;,"[{'text': 'INDU', 'indices': [69, 74]}]"
Mon Sep 12 13:54:42 +0000 2022,President Biden,False,False,1569323621306228744,"Make It in America is no longer just a slogan.

I designed an economic plan where it is a reality.",en,54172,8130,The White House,,,,,
Tue Sep 13 22:46:17 +0000 2022,David Meyers,False,False,1569819786007441408,"Note that the S&amp;P500 and the DJIA are both down -- all the way back to where they were on September 6, a week ago.",en,2,,Twitter Web App,,,,,
Wed Sep 14 15:39:36 +0000 2022,burde trading,False,False,1570074794573316096,"Dow Jones Industrial Average
M5 cash
#dj30 #dji #djia #dow #dow30 #dowjones #us30 https://t.co/APlpaO0cBQ",en,1,,Twitter Web App, https://twitter.com/BurdeTrading/status/1570074794573316096/photo/1;,,, dj30; dji; djia; dow; dow30; dowjones; us30;,
Tue Sep 13 21:36:18 +0000 2022,elk,False,False,1569802174582112256,"Market comments on tomorrow (PPI):

- another volatile day is coming. 3850 or 4000

- there is room for a big up day to 4K on positive PPI . This would then get retraced quickly

- bad PPI numbers and we gap down hard , with 3850s as a support for a day or two.

$SPY $SPX $DJIA",en,3,,Twitter Web App,,,,,"[{'text': 'SPY', 'indices': [263, 267]}, {'text': 'SPX', 'indices': [268, 272]}, {'text': 'DJIA', 'indices': [273, 278]}]"
Wed Sep 14 07:31:15 +0000 2022,$,False,False,1569951900270825476,"$DJIA M15 $CASH #DowJones 
Done  https://t.co/D6tqg9bjLd",en,27,,Twitter Web App, https://twitter.com/JoeChartingStar/status/1569951900270825476/photo/1;,,, DowJones;,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'CASH', 'indices': [10, 15]}]"
Tue Sep 13 12:38:20 +0000 2022,Mandi,False,False,1569666791609081864,700 dollar 1 min candle on the #DJIA .. beautiful .. ah good times are back  https://t.co/BCPNzMbKAI,en,29,,Twitter Web App, https://twitter.com/MPX_Trader/status/1569666791609081864/photo/1;,,, DJIA;,
Tue Sep 13 07:33:44 +0000 2022,Alex,False,False,1569590135091593216,10yr spike fluctuations in drivers of the debt market. Priced in stock move down 300+DJIA today if it persists https://t.co/qSHVyQbpRZ,en,1,,Twitter for iPhone, https://twitter.com/Alex66231305/status/1569590135091593216/photo/1;,,,,
Wed Sep 14 00:42:54 +0000 2022,Ninaad Deshmukh,False,False,1569849134605078529,"#DJIA - Daily chart suggests today's fall is actually a ""Bear Trap"" (Price can go a little down), so expect reversal

Ninad Indicator(NI) is in strong Bullish Divergence &amp; @ imp/sup level of 50

This is a Double Bottom Bullish NI divergence pattern

#DJI #SPX #beartrap #NinadInd https://t.co/WLGy8czotC",en,9,1,Twitter Web App, https://twitter.com/Ninad_Indicator/status/1569849134605078529/photo/1;,,, DJIA; DJI; SPX; beartrap; NinadInd;,
Tue Sep 13 15:35:52 +0000 2022,President Biden,False,False,1569711466143416323,"Exactly four weeks ago, I signed the Inflation Reduction Act into law.

So today, we're celebrating.

Tune in at 3 PM ET as I deliver remarks and welcome the leaders and advocates who made it happen to the People's House.",en,28067,4256,The White House,,,,,
Tue Sep 13 19:45:27 +0000 2022,"Favilo, CFA | Journey to Wealth",False,False,1569774279318982656,"#DowJones #HeadandShoulders 
#Bearish $DJIA #DJIA 
CMP 31050
Target comes to 27000, earlier low 29650 https://t.co/FAYdFbnA7h",en,10,1,Twitter for iPhone, https://twitter.com/FaviloF/status/1569774279318982656/photo/1;,,, DowJones; HeadandShoulders; Bearish; DJIA;,"[{'text': 'DJIA', 'indices': [38, 43]}]"
Mon Sep 12 13:23:21 +0000 2022,Merriman Market Analyst,False,False,1569315732692910082,Fridays gap up in DJIA is a game changer. If prices close below gap it may be another game changer heading into Jupiters double semi-square to Sat/Uranus last two weeks of Sep. Metals too headed into then. Only impediment is the Trickster.,en,29,6,Twitter for iPhone,,,,,
Tue Sep 13 15:44:31 +0000 2022,Seaside Trader,False,False,1569713644765683712,"The DJIA is down over 900 points but don't worry, Biden is celebrating the Inflation Reduction Act otherwise know as the Post Covid Pork Climate Change Bill.

#BestEconomyEver https://t.co/TnhYdjQgAU",en,7,,Twitter Web App, https://twitter.com/csidetrader/status/1569713644765683712/photo/1;,,, BestEconomyEver;,
Tue Sep 13 19:28:51 +0000 2022,Hatepopcountry,False,False,1569770101611630596,DJIA down over 14% ytd.  Inflation continues!   @JoeBiden @POTUS sucks !  His administration is crushing our economy with his stupid policies!,en,1,1,Twitter for iPhone,, JoeBiden; POTUS;,,,
Thu Sep 15 03:03:25 +0000 2022,Billions777888,False,False,1570246885449007104,"It's Official! Bear Market is OVER!

$DJIA $SPY $SPX $QQQ $IWM $XBI $LABU $FSR $ASTS $SOFI $DNA #BTC $MARA $RIOT $HUT $BKKT $CORZ $CIFR $PDSB $TSLA $LCID $STEM https://t.co/0WCtptLSPG",en,2,1,Twitter Web App, https://twitter.com/Billions777888/status/1570246885449007104/photo/1;,,, BTC;,"[{'text': 'DJIA', 'indices': [37, 42]}, {'text': 'SPY', 'indices': [43, 47]}, {'text': 'SPX', 'indices': [48, 52]}, {'text': 'QQQ', 'indices': [53, 57]}, {'text': 'IWM', 'indices': [58, 62]}, {'text': 'XBI', 'indices': [63, 67]}, {'text': 'LABU', 'indices': [68, 73]}, {'text': 'FSR', 'indices': [74, 78]}, {'text': 'ASTS', 'indices': [79, 84]}, {'text': 'SOFI', 'indices': [85, 90]}, {'text': 'DNA', 'indices': [91, 95]}, {'text': 'MARA', 'indices': [101, 106]}, {'text': 'RIOT', 'indices': [107, 112]}, {'text': 'HUT', 'indices': [113, 117]}, {'text': 'BKKT', 'indices': [118, 123]}, {'text': 'CORZ', 'indices': [124, 129]}, {'text': 'CIFR', 'indices': [130, 135]}, {'text': 'PDSB', 'indices': [136, 141]}, {'text': 'TSLA', 'indices': [142, 147]}, {'text': 'LCID', 'indices': [148, 153]}, {'text': 'STEM', 'indices': [154, 159]}]"
Tue Sep 13 20:09:42 +0000 2022,CNBC Now,False,True,1569780379317579776,"Dow tumbles 1,200 points for worst day since June 2020 after hot inflation report; Nasdaq plummets 5%
https://t.co/ee7BGLt9Ym https://t.co/FDoJeMnY91",en,74,68,Twitter Web App, https://twitter.com/CNBCnow/status/1569780379317579776/photo/1;,, https://cnb.cx/3xhvick;,,
Mon Sep 12 15:51:49 +0000 2022,$,False,False,1569353093925720065,"$DJIA M15 $CASH
Hope for the bears https://t.co/fRPwZydCnu",en,24,,Twitter Web App, https://twitter.com/JoeChartingStar/status/1569353093925720065/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'CASH', 'indices': [10, 15]}]"
Wed Sep 14 23:37:23 +0000 2022,TradeInflection Premium Options Service,False,False,1570195032996552704,"Daily Futures results in @HubVeleta - 2022-09-14
Join and see it in real-time for yourself...
https://t.co/e8d4QRy5IL

Trades Log at https://t.co/HasmdqHtfE 

#ES_F $SPX #trading #NQ_F #RTY_F #DJIA $NDX #YM_F #RUT #DAX #FSTE https://t.co/dCqU5H4Pbz",en,2,,TI_OPTIONS, https://twitter.com/TI_RT_Options/status/1570195032996552704/photo/1;, HubVeleta;, https://discord.gg/VbHPWJGafk; https://seerkast.com/report/table/dom/future;, ES_F; trading; NQ_F; RTY_F; DJIA; YM_F; RUT; DAX; FSTE;,"[{'text': 'SPX', 'indices': [168, 172]}, {'text': 'NDX', 'indices': [201, 205]}]"
Wed Sep 07 08:32:57 +0000 2022,Dr. Fred DiUlus: Online Education Pioneer,False,False,1567430710432071686,"Time for real. 
Current ONE party rule since 01/20/20. 
DJIA has dived 10% (-3000+ pts) 
Inflation tripled, deep recession on way.
Illegals now at 2 to3 mill &amp; climbing. 
Schools in chaos / take yrs to recover, pronouns, CRT, gender identity priorities
Rulers preoccupied w TDS! https://t.co/I8qu3uAsTF",en,108,23,Twitter Web App, https://twitter.com/BestWorstOnline/status/1567430710432071686/photo/1;,,,,
Tue Sep 13 18:25:16 +0000 2022,B2Investor,False,False,1569754100350259204,#DJIA base case scenario intact for now https://t.co/XcaYMAB1Ta,en,1,,Twitter Web App, https://twitter.com/B2Investor/status/1569754100350259204/photo/1;,,, DJIA;,
Wed Sep 14 17:01:56 +0000 2022,Dowhaus,False,False,1570095513357225985,"Comcast and Johnson &amp; Johnson became the latest U.S. companies to announce billion-dollar share buybacks ahead of a new tax on stock repurchases next year. Johnson &amp; Johnson announced a$5 billion stock repurchase, while Comcast authorized $20 billion. $JNJ $DIA $DJIA #trading https://t.co/rvy7fIcERi",en,,,Twitter Web App, https://twitter.com/dowhaus/status/1570095513357225985/photo/1;,,, trading;,"[{'text': 'JNJ', 'indices': [261, 265]}, {'text': 'DIA', 'indices': [266, 270]}, {'text': 'DJIA', 'indices': [271, 276]}]"
Wed Sep 14 01:02:51 +0000 2022,Dan Whipple,False,False,1569854153010335746,"The absolute timing of this speech, as core CPI comes in higher than expected and the DJIA tanks in real time at the bottom of the screen. The emperor has no clothes, folks. https://t.co/LAPBPyLFK2",en,,,Twitter Web App, https://twitter.com/DanWhipple_/status/1569854153010335746/video/1;,,,,
Tue Sep 13 15:06:05 +0000 2022,$,False,False,1569703974093070337,"$DJIA M15 $CASH
Are u enjoying it?  https://t.co/bclfZop9Db",en,23,,Twitter Web App, https://twitter.com/JoeChartingStar/status/1569703974093070337/photo/1;,,,,"[{'text': 'DJIA', 'indices': [0, 5]}, {'text': 'CASH', 'indices': [10, 15]}]"
Thu Sep 15 03:06:31 +0000 2022,"Gabriel L, Pharm.D.,BCPS",False,False,1570247663601479680,"$SPX $NDX $DJIA $RUT: $NQ_F #NQ_F need to reclaim 12262..? #StockMarket #stocks #stockstowatch 
-#GoodNightEveryone see all tomorrow @630AMPT https://t.co/UJyrk6070K",en,,,Twitter Web App, https://twitter.com/Appearcomplex/status/1570247663601479680/photo/1;,,, NQ_F; StockMarket; stocks; stockstowatch; GoodNightEveryone;,"[{'text': 'SPX', 'indices': [0, 4]}, {'text': 'NDX', 'indices': [5, 9]}, {'text': 'DJIA', 'indices': [10, 15]}, {'text': 'RUT', 'indices': [16, 20]}, {'text': 'NQ_F', 'indices': [22, 27]}]"
Wed Sep 14 06:28:05 +0000 2022,Trendonomics by Harsh Dixit,False,False,1569936001283551233,"What if #DJIA has completed 3 wave Fall from recent swing high?

It simply means it could be ready for another set of Rally abv swing high of 34270

Tough to believe for Macro Bears
#StockMarket is not easy.
#Elliottwave",en,14,1,Twitter for Android,,,, DJIA; StockMarket; Elliottwave;,
Wed Sep 14 11:55:04 +0000 2022,Jason Spatafora,False,False,1570018290981867524,"Bulls thinking Powell was going to pivot, drop to .25bps and that #CpiData would come in under 8% when #PPI drops at 8:30. $spy $djia $qqq $Vix https://t.co/YhBVWXsvzr",en,28,17,Twitter for iPhone, https://twitter.com/WolfOfWeedST/status/1570018290981867524/video/1;,,, CpiData; PPI;,"[{'text': 'spy', 'indices': [124, 128]}, {'text': 'djia', 'indices': [129, 134]}, {'text': 'qqq', 'indices': [135, 139]}, {'text': 'Vix', 'indices': [140, 144]}]"
Tue Sep 13 19:12:20 +0000 2022,Scott T. Parkinson,False,False,1569765944255299584,"The Biden Administration wants you to think the economy is just fine

Todays inflation data came in hot especially food prices.

The DJIA has responded accordingly - DOWN 1,100+ right now.

The economy is suffering from Bidenflation. BIG Govt is NOT the solution! #VoteRed",en,4,2,Twitter for iPhone,,,, VoteRed;,
Wed Sep 14 18:17:22 +0000 2022,"Favilo, CFA | Journey to Wealth",False,False,1570114497766899716,Breakdown coming #DJIA $DJIA #DowJones https://t.co/c3WkCAqKg6,en,4,,Twitter for iPhone, https://twitter.com/FaviloF/status/1570114497766899716/photo/1;,,, DJIA; DowJones;,"[{'text': 'DJIA', 'indices': [23, 28]}]"
Tue Sep 13 20:12:23 +0000 2022,Shaun Richards,False,False,1569781056361959424,I know that the main index is the S&amp;P 500 but there is still something symbolic in the Dow Jones ( DJIA) falling more than 1000 points in a day.,en,5,1,Twitter Web App,,,,,
Wed Sep 14 15:07:46 +0000 2022,Michael Dobozy,False,True,1570066782790242305,"@justinbaragona pictured: DJIA, mid free-fall https://t.co/dTBEwaH1CN",en,1,,TweetDeck, https://twitter.com/dobozysaurus/status/1570066782790242305/photo/1;, justinbaragona;,,,
